PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Quantity,Discount Amount,Tax Pct,Tax Amount,Currency,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-00019,14/03/2023,2023,Q1,March,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-67289,A4 Paper (Ream),Office Supplies,A4 Paper (Ream),Box,170,0.0,5,175.78,AUD,-7.2,03/04/2023,03/04/2023,0,Yes,20,Marketing,CC-004,David Lee,Tom Reynolds,NO-CONTRACT,Spot,14/03/2023,13/04/2023,Paid,Overdue,3-Way Match,No,Yes,No,International,41.5
PO-00020,03/02/2023,2023,Q1,February,Blanket,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-32712,Branded Merchandise,Marketing,Branded Merchandise,Box,168,0.0,0,0.0,GBP,16.6,31/03/2023,31/03/2023,0,Yes,56,Facilities,CC-009,Isla White,Tom Reynolds,CON-2988,Long-term,27/11/2022,23/08/2025,Paid,Pending,2-Way Match,No,No,No,International,89.1
PO-00021,25/06/2024,2024,Q2,June,Emergency,Open,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,141,0.0,0,0.0,GBP,16.0,16/07/2024,12/07/2024,-4,Yes,17,Operations,CC-003,Maya Hall,Lisa Chen,CON-4919,Spot,13/11/2023,29/07/2024,Pending,Pending,2-Way Match,No,No,No,Local,67.8
PO-00022,05/11/2022,2022,Q4,November,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,105,0.0,5,62.63,GBP,10.4,06/12/2022,04/01/2023,29,No,60,IT,CC-002,Leo Walker,Sarah Mitchell,CON-7232,Long-term,02/11/2022,25/04/2024,Paid,Overdue,3-Way Match,No,No,No,Local,67.8
PO-00023,28/03/2023,2023,Q1,March,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-62311,Training Course,Professional Svcs,Training Course,EA,87,0.0,5,2490.64,USD,15.7,10/04/2023,09/04/2023,-1,Yes,12,Legal,CC-007,Grace Taylor,Lisa Chen,CON-1444,Framework,03/05/2022,11/01/2024,Paid,Paid,3-Way Match,No,No,No,International,80.5
PO-00024,01/11/2023,2023,Q4,November,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,108,0.0,0,0.0,EUR,11.4,09/11/2023,17/11/2023,8,No,16,Operations,CC-003,Maya Hall,Sarah Mitchell,CON-5051,Master Supply,22/10/2023,15/01/2026,Paid,Pending,2-Way Match,Yes,No,No,International,75.7
PO-00025,26/01/2024,2024,Q1,January,Standard,Open,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-76816,Antivirus License,IT Software,Antivirus License,EA,28,0.0,5,136.54,JPY,13.2,24/02/2024,22/02/2024,-2,Yes,27,Sales,CC-010,Jack Harris,Tom Reynolds,NO-CONTRACT,Spot,26/01/2024,25/02/2024,Pending,Pending,No Match,No,No,Yes,International,41.6
PO-00027,23/10/2023,2023,Q4,October,Blanket,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-78958,Project Mgmt Tool,IT Software,Project Mgmt Tool,EA,63,3407.13,20,12947.11,GBP,18.1,29/10/2023,27/10/2023,-2,Yes,4,R&D,CC-008,Henry Martin,Tom Reynolds,CON-5232,Spot,02/06/2023,18/05/2026,Overdue,Pending,3-Way Match,No,No,No,International,50.9
PO-00028,10/05/2023,2023,Q2,May,Blanket,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,166,0.0,5,3071.5,GBP,-28.0,29/05/2023,27/05/2023,-2,Yes,17,Finance,CC-001,Karen Clark,Lisa Chen,CON-9698,Spot,05/10/2022,05/05/2025,Paid,Paid,2-Way Match,No,No,No,International,44.8
PO-00029,09/10/2023,2023,Q4,October,Standard,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,124,0.0,20,408.95,EUR,19.6,01/11/2023,27/10/2023,-5,Yes,18,Marketing,CC-004,David Lee,Priya Sharma,NO-CONTRACT,Spot,09/10/2023,08/11/2023,Paid,Paid,3-Way Match,No,No,No,International,63.2
PO-00030,16/09/2022,2022,Q3,September,Emergency,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-64827,Print Material,Marketing,Print Material,Box,147,0.0,5,3300.81,GBP,-32.4,24/09/2022,21/09/2022,-3,Yes,5,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-2213,Framework,01/07/2022,29/05/2023,Pending,Overdue,2-Way Match,No,No,No,International,41.5
PO-00031,02/05/2024,2024,Q2,May,Emergency,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-31689,Training Material,HR & Training,Training Material,Box,98,0.0,5,1195.21,EUR,-4.0,03/06/2024,31/05/2024,-3,Yes,29,Sales,CC-010,Jack Harris,Sarah Mitchell,CON-4404,Master Supply,19/12/2023,23/04/2026,Paid,Pending,3-Way Match,No,No,No,International,41.5
PO-00032,20/08/2024,2024,Q3,August,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-66957,Plastic Resin (kg),Raw Materials,Plastic Resin (kg),KG,117,0.0,0,0.0,USD,18.9,04/10/2024,26/10/2024,22,No,67,Marketing,CC-004,David Lee,James O'Brien,NO-CONTRACT,Spot,20/08/2024,19/09/2024,Paid,Paid,3-Way Match,No,No,Yes,International,52.3
PO-00033,22/09/2023,2023,Q3,September,Standard,Disputed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,120,0.0,20,1668.48,GBP,10.1,31/10/2023,29/10/2023,-2,Yes,37,Finance,CC-001,Alice Johnson,James O'Brien,CON-5102,Framework,07/08/2023,24/09/2024,Pending,On Hold,No Match,No,No,No,International,50.9
PO-00034,06/07/2023,2023,Q3,July,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-44814,Office Chair,Office Supplies,Office Chair,EA,114,4207.74,0,0.0,GBP,2.4,01/09/2023,30/08/2023,-2,Yes,55,Legal,CC-007,Grace Taylor,Priya Sharma,NO-CONTRACT,Spot,06/07/2023,05/08/2023,Paid,Paid,2-Way Match,No,No,No,International,41.5
PO-00035,31/03/2024,2024,Q1,March,Blanket,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-43740,Keyboard,IT Hardware,Keyboard,EA,65,0.0,5,82.16,USD,17.9,05/04/2024,05/04/2024,0,Yes,5,Legal,CC-007,Grace Taylor,Sarah Mitchell,NO-CONTRACT,Spot,31/03/2024,30/04/2024,Pending,Pending,3-Way Match,No,No,No,International,63.2
PO-00036,26/09/2022,2022,Q3,September,Contract,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-64827,Print Material,Marketing,Print Material,Box,162,0.0,0,0.0,GBP,-28.9,01/10/2022,30/09/2022,-1,Yes,4,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-2924,Master Supply,14/01/2022,15/07/2024,Pending,Paid,3-Way Match,Yes,No,No,International,44.8
PO-00037,24/10/2022,2022,Q4,October,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-78252,Catering (event),HR & Training,Catering (event),EA,35,4140.03,5,3933.03,USD,20.7,19/11/2022,28/11/2022,9,No,35,HR,CC-005,Emma Wilson,Priya Sharma,CON-9022,Master Supply,10/03/2022,10/03/2024,Paid,Pending,2-Way Match,No,No,No,International,75.7
PO-00038,05/05/2023,2023,Q2,May,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-41218,Consulting (day),Professional Svcs,Consulting (day),Day,122,0.0,5,4574.94,EUR,9.8,01/07/2023,01/07/2023,0,Yes,57,Finance,CC-001,Alice Johnson,Tom Reynolds,CON-6439,Framework,22/09/2022,01/07/2023,Paid,Pending,2-Way Match,No,No,Yes,International,52.3
PO-00039,13/11/2022,2022,Q4,November,Standard,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-66957,Plastic Resin (kg),Raw Materials,Plastic Resin (kg),KG,102,0.0,5,17.8,USD,-20.3,12/12/2022,02/01/2023,21,No,50,Operations,CC-003,Maya Hall,James O'Brien,CON-1588,Framework,16/07/2022,19/10/2024,Pending,Pending,2-Way Match,No,Yes,No,International,41.5
PO-00041,02/08/2024,2024,Q3,August,Emergency,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-24464,Steel Sheet (kg),Raw Materials,Steel Sheet (kg),KG,120,88.68,20,159.62,GBP,21.5,29/08/2024,28/08/2024,-1,Yes,26,Legal,CC-007,Grace Taylor,Priya Sharma,CON-5949,Master Supply,19/01/2024,07/12/2026,Paid,Pending,3-Way Match,Yes,No,No,International,44.8
PO-00042,21/03/2024,2024,Q1,March,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,74,35914.24,0,0.0,GBP,-22.6,05/05/2024,01/05/2024,-4,Yes,41,Operations,CC-003,Maya Hall,Tom Reynolds,CON-1645,Spot,09/08/2023,10/03/2024,Pending,Paid,2-Way Match,No,No,Yes,International,41.6
PO-00043,26/12/2022,2022,Q4,December,Standard,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,70,90.75,5,86.22,AUD,22.8,20/02/2023,16/03/2023,24,No,80,Operations,CC-003,Maya Hall,Sarah Mitchell,CON-2233,Master Supply,02/09/2022,28/07/2025,Pending,Pending,No Match,No,No,No,International,41.5
PO-00044,04/07/2022,2022,Q3,July,Blanket,Open,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,95,0.0,20,141.93,GBP,7.4,18/08/2022,22/08/2022,4,No,49,R&D,CC-008,Henry Martin,Sarah Mitchell,CON-6374,Master Supply,07/08/2021,08/04/2022,Pending,Overdue,2-Way Match,No,No,Yes,Local,75.2
PO-00046,29/04/2023,2023,Q2,April,Blanket,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-94075,Courier Service,Logistics,Courier Service,Shipment,166,0.0,5,610.96,AUD,7.7,27/06/2023,30/06/2023,3,No,62,Finance,CC-001,Karen Clark,Lisa Chen,CON-1828,Spot,26/12/2022,30/10/2023,Pending,Pending,No Match,No,No,Yes,International,41.4
PO-00047,23/04/2023,2023,Q2,April,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-70803,Recruitment Agency,HR & Training,Recruitment Agency,EA,38,24043.74,20,27249.57,GBP,21.1,09/06/2023,04/06/2023,-5,Yes,42,Operations,CC-003,Maya Hall,Tom Reynolds,CON-1258,Master Supply,09/12/2022,30/07/2023,Paid,Paid,3-Way Match,No,Yes,No,International,55.1
PO-00048,12/01/2024,2024,Q1,January,Standard,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-46380,Photography Svcs,Marketing,Photography Svcs,EA,158,0.0,20,17881.18,GBP,12.3,18/01/2024,03/02/2024,16,No,22,Legal,CC-007,Grace Taylor,Sarah Mitchell,CON-8267,Framework,02/12/2023,24/04/2025,Overdue,Pending,2-Way Match,No,No,Yes,International,41.4
PO-00049,28/10/2023,2023,Q4,October,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,155,0.0,20,731.91,EUR,4.4,21/12/2023,14/01/2024,24,No,78,Legal,CC-007,Grace Taylor,James O'Brien,CON-7779,Spot,10/03/2023,18/10/2024,Paid,Paid,3-Way Match,No,No,Yes,International,41.6
PO-00050,09/11/2022,2022,Q4,November,Emergency,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-76104,ERP License,IT Software,ERP License,EA,24,0.0,20,203662.7,USD,16.0,19/12/2022,07/01/2023,19,No,59,Facilities,CC-009,Isla White,Priya Sharma,CON-7730,Spot,04/12/2021,09/07/2024,Overdue,Paid,3-Way Match,No,No,No,International,44.8
PO-00051,05/11/2024,2024,Q4,November,Standard,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-53575,Digital Ads,Marketing,Digital Ads,Campaign,90,19407.33,5,18436.96,GBP,9.2,24/11/2024,22/11/2024,-2,Yes,17,Operations,CC-003,Maya Hall,Lisa Chen,CON-1430,Spot,22/10/2024,21/10/2025,Pending,On Hold,3-Way Match,No,No,No,International,52.0
PO-00052,31/03/2024,2024,Q1,March,Standard,Open,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-13249,Laptop,IT Hardware,Laptop,EA,56,0.0,5,5791.49,GBP,9.0,21/05/2024,15/06/2024,25,No,76,Sales,CC-010,Jack Harris,Sarah Mitchell,CON-3549,Master Supply,20/05/2023,05/01/2024,Pending,Overdue,2-Way Match,No,No,No,Local,67.8
PO-00054,15/10/2024,2024,Q4,October,Blanket,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-44814,Office Chair,Office Supplies,Office Chair,EA,59,0.0,20,4432.55,GBP,17.0,14/12/2024,14/12/2024,0,Yes,60,R&D,CC-008,Henry Martin,Sarah Mitchell,CON-8033,Long-term,18/10/2023,30/01/2026,Paid,Paid,2-Way Match,No,No,No,International,55.1
PO-00055,31/07/2024,2024,Q3,July,Blanket,Open,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-51688,Freight - Road,Logistics,Freight - Road,Shipment,28,0.0,20,5522.05,GBP,10.1,29/09/2024,26/09/2024,-3,Yes,57,Procurement,CC-006,Frank Brown,Tom Reynolds,NO-CONTRACT,Spot,31/07/2024,30/08/2024,Pending,Pending,2-Way Match,Yes,No,No,International,75.7
PO-00056,30/10/2022,2022,Q4,October,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-66613,Aluminium Bar (kg),Raw Materials,Aluminium Bar (kg),KG,40,9.12,20,34.66,AUD,8.4,14/12/2022,29/12/2022,15,No,60,Operations,CC-003,Maya Hall,Lisa Chen,CON-6295,Spot,14/08/2022,05/05/2024,Paid,Paid,3-Way Match,No,No,No,International,55.1
PO-00057,05/11/2024,2024,Q4,November,Standard,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-64827,Print Material,Marketing,Print Material,Box,74,0.0,0,0.0,EUR,13.9,09/12/2024,27/12/2024,18,No,52,IT,CC-002,Leo Walker,Sarah Mitchell,CON-4084,Spot,01/01/2024,29/10/2025,Disputed,Paid,No Match,Yes,No,No,International,44.8
PO-00058,22/06/2022,2022,Q2,June,Standard,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-40833,Desktop PC,IT Hardware,Desktop PC,EA,113,0.0,20,32089.97,GBP,5.3,15/07/2022,29/07/2022,14,No,37,Finance,CC-001,Karen Clark,Lisa Chen,NO-CONTRACT,Spot,22/06/2022,22/07/2022,Pending,Overdue,2-Way Match,No,No,No,International,55.1
PO-00059,01/06/2023,2023,Q2,June,Blanket,Open,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-31689,Training Material,HR & Training,Training Material,Box,150,0.0,5,1000.05,EUR,8.4,18/07/2023,16/07/2023,-2,Yes,45,IT,CC-002,Bob Smith,Priya Sharma,CON-6381,Master Supply,23/06/2022,08/12/2024,Overdue,Pending,No Match,Yes,No,No,International,52.0
PO-00060,12/01/2024,2024,Q1,January,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,197,0.0,0,0.0,GBP,-4.4,04/02/2024,21/02/2024,17,No,40,Marketing,CC-004,Nathan Young,Lisa Chen,NO-CONTRACT,Spot,12/01/2024,11/02/2024,Pending,Paid,3-Way Match,No,No,No,International,80.5
PO-00061,06/12/2022,2022,Q4,December,Blanket,Disputed,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,61,98753.39,20,111920.51,EUR,21.7,08/01/2023,04/01/2023,-4,Yes,29,Operations,CC-003,Maya Hall,James O'Brien,CON-4178,Spot,24/12/2021,27/01/2024,Disputed,Overdue,3-Way Match,No,No,Yes,Local,75.2
